Tm,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GmSc,Match,Player,Win%,Conf
ATL,43.24,91.83,47.08,13.42,37.58,35.7,17.96,23.17,77.54,11.83,32.63,44.46,29.5,9.7,5.08,14.54,19.05,117.86,-7.56,98.62,84,9.85,47.62,East
BOS,41.04,89.19,46.02,17.34,47.18,36.76,15.59,19.51,79.93,11.31,33.74,45.05,25.42,7.13,5.49,11.42,16.32,115.02,43.44,96.3,93,10.51,72.04,East
BRK,37.63,86.1,43.71,13.57,39.41,34.44,16.27,20.68,78.66,10.9,30.4,41.3,25.16,7.79,4.29,13.88,20.71,105.11,-35.55,81.13,82,10.22,31.71,East
CHI,43.08,91.9,46.88,15.37,41.98,36.62,15.93,19.69,80.91,10.02,35.73,45.76,28.89,7.59,4.7,13.98,17.6,117.47,-8.86,96.69,83,11.2,46.99,East
CHO,38.32,89.12,42.99,12.99,38.33,33.88,15.48,19.77,78.29,12.23,32.96,45.2,24.32,7.4,4.49,14.87,18.72,105.1,-45.55,79.99,82,10.61,23.17,East
CLE,44.18,90.48,48.82,15.79,41.43,38.12,17.55,22.46,78.13,11.3,34.03,45.33,27.58,8.24,4.2,12.42,18.18,121.69,48.74,102.98,91,11.2,75.82,East
DAL,41.96,87.67,47.87,12.45,34.13,36.48,17.79,23.05,77.17,10.06,32.88,42.94,25.29,7.79,5.49,13.29,17.74,114.17,-5.83,93.33,84,10.79,47.62,West
DEN,44.42,89.28,49.75,11.98,32.28,37.11,17.94,23.32,76.91,11.36,34.48,45.84,29.78,7.94,4.8,13.74,17.95,118.75,13.07,101.39,96,10.33,59.38,West
DET,42.34,89.31,47.41,12.64,35.1,36.0,17.58,22.65,77.62,11.33,33.36,44.69,25.97,7.9,5.33,14.18,20.82,114.9,8.41,92.53,88,10.61,52.27,East
GSW,40.24,89.72,44.86,15.19,41.93,36.23,16.84,22.01,76.52,12.49,32.18,44.67,28.36,9.38,4.64,13.14,19.45,112.52,12.63,93.71,95,11.61,56.84,West
HOU,42.03,92.53,45.43,12.49,35.24,35.46,16.92,23.04,73.43,14.54,33.8,48.34,23.04,8.36,5.02,12.99,18.89,113.48,20.79,90.86,89,10.48,61.8,West
IND,42.97,88.25,48.69,13.18,35.33,37.3,17.52,22.24,78.8,8.93,32.63,41.56,28.63,8.37,5.5,12.5,19.7,116.65,10.95,98.11,105,11.22,61.9,East
LAC,41.54,86.15,48.22,12.43,33.36,37.25,17.01,21.49,79.14,10.24,33.21,43.45,25.24,9.31,4.72,13.64,18.4,112.52,21.69,93.45,89,10.94,59.55,West
LAL,40.56,85.07,47.68,13.33,36.49,36.54,18.18,23.08,78.78,9.66,32.57,42.23,25.71,7.56,4.51,13.13,17.47,112.64,3.74,92.49,87,10.34,58.62,West
MEM,44.35,93.03,47.67,13.73,37.51,36.59,18.23,23.05,79.09,12.83,34.35,47.18,28.0,8.65,5.6,15.1,20.88,120.66,18.69,99.35,88,11.28,55.68,West
MIA,40.36,86.85,46.47,13.73,37.45,36.65,15.58,19.85,78.48,9.77,33.48,43.25,26.3,7.95,3.88,12.81,15.62,110.03,-2.73,90.58,88,10.18,44.32,East
MIL,41.8,86.39,48.38,14.2,36.74,38.66,17.2,23.01,74.77,8.35,35.12,43.48,25.39,7.24,4.61,12.81,18.03,115.0,10.28,93.53,88,10.97,56.82,East
MIN,40.78,87.26,46.74,14.76,39.43,37.44,17.15,21.82,78.6,11.18,32.81,43.99,25.82,7.87,4.92,13.86,18.66,113.48,23.2,92.58,97,10.37,59.79,West
NOP,40.63,89.85,45.22,12.02,34.62,34.73,16.54,21.94,75.38,12.11,31.5,43.61,25.84,8.55,5.23,13.94,18.28,109.83,-47.13,88.0,82,10.09,25.61,West
NYK,42.62,88.72,48.04,12.3,33.64,36.56,17.12,21.63,79.15,11.02,31.62,42.64,26.11,8.13,4.08,12.34,17.84,114.66,16.8,94.79,100,9.98,61.0,East
OKC,43.7,92.0,47.5,13.86,37.93,36.53,17.61,21.63,81.42,10.76,33.74,44.5,25.88,10.42,5.66,11.13,20.18,118.87,58.07,101.28,106,11.29,79.25,West
ORL,38.09,85.76,44.41,11.06,35.08,31.52,17.68,22.95,77.03,11.17,30.69,41.86,22.83,8.72,5.86,12.9,20.23,104.92,-2.78,82.85,88,11.3,48.86,East
PHI,39.68,87.41,45.4,12.7,37.2,34.13,17.55,22.49,78.04,10.39,29.4,39.79,23.18,9.17,4.46,12.84,18.98,109.61,-31.16,86.5,82,10.15,29.27,East
PHO,41.23,86.28,47.79,14.34,37.95,37.79,16.82,20.76,81.02,9.55,32.94,42.49,27.77,7.23,4.78,13.24,17.94,113.62,-15.0,94.3,82,10.82,43.9,West
POR,40.55,90.2,44.96,12.89,37.74,34.15,16.9,22.2,76.15,13.35,31.41,44.77,23.8,8.27,5.28,15.12,19.0,110.89,-14.88,86.53,82,10.73,43.9,West
SAC,43.01,90.05,47.77,12.59,35.18,35.79,17.0,21.12,80.49,11.04,33.16,44.19,26.41,7.54,4.35,12.7,18.88,115.61,1.54,94.63,83,10.82,48.19,West
SAS,41.78,89.78,46.54,14.12,39.59,35.67,16.24,20.99,77.4,10.93,32.74,43.67,28.63,8.22,5.55,13.26,16.62,113.93,-13.78,95.61,82,11.29,41.46,West
TOR,41.63,91.0,45.75,11.82,33.98,34.78,15.78,21.09,74.84,12.61,32.51,45.12,28.54,8.1,4.24,14.68,21.2,110.87,-21.46,88.16,82,10.51,36.59,East
UTA,40.3,88.68,45.45,13.95,39.84,35.02,17.33,22.39,77.4,11.99,33.43,45.41,25.52,6.77,4.39,16.46,18.89,111.89,-46.71,86.02,82,10.16,20.73,West
WAS,39.43,89.89,43.86,13.11,39.15,33.49,16.04,20.61,77.81,10.57,33.12,43.7,25.1,7.6,5.12,14.91,19.73,108.0,-62.17,82.3,82,10.85,21.95,East
